parameter,display_name,unit,value,lcoe_gbp_per_mwh
transmission_efficiency,RF transmission efficiency,fraction,0.8703,88.31896572607212
transmission_efficiency,RF transmission efficiency,fraction,0.87175,88.28494956881643
transmission_efficiency,RF transmission efficiency,fraction,0.8732,88.25104638322364
transmission_efficiency,RF transmission efficiency,fraction,0.8746499999999999,88.21725560743843
transmission_efficiency,RF transmission efficiency,fraction,0.8761,88.18357668332517
transmission_efficiency,RF transmission efficiency,fraction,0.8775499999999999,88.15000905643706
transmission_efficiency,RF transmission efficiency,fraction,0.879,88.11655217598577
transmission_efficiency,RF transmission efficiency,fraction,0.88045,88.08320549481132
transmission_efficiency,RF transmission efficiency,fraction,0.8819,88.04996846935234
transmission_efficiency,RF transmission efficiency,fraction,0.88335,88.0168405596162
transmission_efficiency,RF transmission efficiency,fraction,0.8848,87.98382122915021
transmission_efficiency,RF transmission efficiency,fraction,0.88625,87.95090994501243
transmission_efficiency,RF transmission efficiency,fraction,0.8876999999999999,87.91810617774294
transmission_efficiency,RF transmission efficiency,fraction,0.88915,87.88540940133561
transmission_efficiency,RF transmission efficiency,fraction,0.8906,87.8528190932099
transmission_efficiency,RF transmission efficiency,fraction,0.89205,87.82033473418292
transmission_efficiency,RF transmission efficiency,fraction,0.8935,87.78795580844212
transmission_efficiency,RF transmission efficiency,fraction,0.89495,87.75568180351773
transmission_efficiency,RF transmission efficiency,fraction,0.8964,87.72351221025586
transmission_efficiency,RF transmission efficiency,fraction,0.89785,87.69144652279165
transmission_efficiency,RF transmission efficiency,fraction,0.8993,87.65948423852291
transmission_efficiency,RF transmission efficiency,fraction,0.9007499999999999,87.62762485808362
transmission_efficiency,RF transmission efficiency,fraction,0.9022,87.59586788531809
transmission_efficiency,RF transmission efficiency,fraction,0.90365,87.56421282725515
transmission_efficiency,RF transmission efficiency,fraction,0.9051,87.5326591940827
transmission_efficiency,RF transmission efficiency,fraction,0.90655,87.5012064991224
transmission_efficiency,RF transmission efficiency,fraction,0.908,87.4698542588046
transmission_efficiency,RF transmission efficiency,fraction,0.90945,87.43860199264361
transmission_efficiency,RF transmission efficiency,fraction,0.9108999999999999,87.40744922321319
transmission_efficiency,RF transmission efficiency,fraction,0.91235,87.37639547612216
transmission_efficiency,RF transmission efficiency,fraction,0.9138,87.34544027999034
transmission_efficiency,RF transmission efficiency,fraction,0.91525,87.31458316642485
transmission_efficiency,RF transmission efficiency,fraction,0.9167,87.2838236699962
transmission_efficiency,RF transmission efficiency,fraction,0.91815,87.25316132821506
transmission_efficiency,RF transmission efficiency,fraction,0.9196,87.22259568150915
transmission_efficiency,RF transmission efficiency,fraction,0.9210499999999999,87.19212627320012
transmission_efficiency,RF transmission efficiency,fraction,0.9225,87.16175264948089
transmission_efficiency,RF transmission efficiency,fraction,0.9239499999999999,87.13147435939312
transmission_efficiency,RF transmission efficiency,fraction,0.9254,87.10129095480488
transmission_efficiency,RF transmission efficiency,fraction,0.92685,87.0712019903885
transmission_efficiency,RF transmission efficiency,fraction,0.9283,87.04120702359877
transmission_efficiency,RF transmission efficiency,fraction,0.92975,87.01130561465112
transmission_efficiency,RF transmission efficiency,fraction,0.9312,86.98149732650026
transmission_efficiency,RF transmission efficiency,fraction,0.93265,86.95178172481873
transmission_efficiency,RF transmission efficiency,fraction,0.9340999999999999,86.92215837797596
transmission_efficiency,RF transmission efficiency,fraction,0.93555,86.89262685701726
transmission_efficiency,RF transmission efficiency,fraction,0.9369999999999999,86.86318673564318
transmission_efficiency,RF transmission efficiency,fraction,0.93845,86.83383759018893
transmission_efficiency,RF transmission efficiency,fraction,0.9399,86.80457899960416
transmission_efficiency,RF transmission efficiency,fraction,0.94135,86.77541054543273
transmission_efficiency,RF transmission efficiency,fraction,0.9428,86.74633181179281
transmission_efficiency,RF transmission efficiency,fraction,0.94425,86.71734238535709
transmission_efficiency,RF transmission efficiency,fraction,0.9457,86.68844185533318
transmission_efficiency,RF transmission efficiency,fraction,0.9471499999999999,86.65962981344427
transmission_efficiency,RF transmission efficiency,fraction,0.9486,86.63090585390987
transmission_efficiency,RF transmission efficiency,fraction,0.95005,86.6022695734267
transmission_efficiency,RF transmission efficiency,fraction,0.9515,86.57372057114999
transmission_efficiency,RF transmission efficiency,fraction,0.95295,86.54525844867447
transmission_efficiency,RF transmission efficiency,fraction,0.9544,86.51688281001626
transmission_efficiency,RF transmission efficiency,fraction,0.95585,86.48859326159403
transmission_efficiency,RF transmission efficiency,fraction,0.9573,86.46038941221123
transmission_efficiency,RF transmission efficiency,fraction,0.95875,86.43227087303778
transmission_efficiency,RF transmission efficiency,fraction,0.9601999999999999,86.4042372575923
transmission_efficiency,RF transmission efficiency,fraction,0.96165,86.37628818172442
